AAMU,Alabama A&M,19
AAMU,Arkansas-Pine Bluff,1
AAMU,Florida State,2
AAMU,Alabama,1
AAMU,Michigan,2
AAMU,Jackson State,8
AAMU,Mississippi State,5
ACU,Abilene Christian,4
ACU,UC Riverside,3
AFA,Air Force,135
AFA,San Diego St,4
AFA,Fresno St,5
AFA,Boise State,3
AFA,Duke,5
AFA,UNLV,21
AFA,Utah,7
AFA,TCU,7
AFA,Brigham Young,12
AFA,San Diego State,15
AFA,Wyoming,3
AFA,New Mexico,14
AFA,Colorado State,4
AFA,Washington State,4
AFA,Norfolk State,4
AFA,Chicago State,4
AFA,Colorado,4
AFA,Wichita State,2
AKR,Toledo,2
AKR,Akron,58
AKR,Ohio,3
AKR,Villanova,1
AKR,Western Michigan,3
AKR,Central Michigan,4
AKR,Kent State,5
AKR,Bowling Green,1
AKR,Louisville,4
AKR,Nevada,4
AKR,Temple,5
AKR,Pittsburgh,3
AKR,Gonzaga,1
AKR,Texas A&M,3
AKR,UNC Greensboro,4
AKR,Minnesota,2
AKR,Middle Tennessee,6
AKR,Creighton,1
AKR,Princeton,5
AKR,Iowa State,3
ALA,Alabama,204
ALA,Florida,14
ALA,Kentucky,22
ALA,Wichita St,5
ALA,Xavier,1
ALA,South Carolina,6
ALA,Texas A&M,6
ALA,Memphis,4
ALA,Temple,2
ALA,Notre Dame,6
ALA,NC State,2
ALA,Oklahoma,5
ALA,LSU,9
ALA,Tennessee,14
ALA,North Carolina State,5
ALA,Arkansas,4
ALA,Mississippi,6
ALA,Auburn,4
ALA,Georgetown,3
ALA,Clemson,3
ALA,Vanderbilt,9
ALA,Michigan,1
ALA,Purdue,9
ALA,Kansas State,4
ALA,Mississippi State,4
ALA,Alabama A&M,3
ALA,Virginia Commonwealt,3
ALA,Wichita State,2
ALA,Maryland,3
ALA,Dayton,3
ALA,Duke,4
ALB,Albertus Magnus,4
ALB,Yale,2
ALBY,Mt St Mary's,4
ALBY,Albany,75
ALBY,Florida,3
ALBY,Hartford,5
ALBY,Oklahoma,1
ALBY,Kentucky,2
ALBY,Maine,3
ALBY,Stony Brook,13
ALBY,UCLA,5
ALBY,Connecticut,1
ALBY,Boise State,4
ALBY,Duke,1
ALBY,Iona,2
ALBY,North Carolina,2
ALBY,Binghamton,3
ALBY,Cornell,2
ALBY,Syracuse,3
ALBY,Ohio State,1
ALCN,Alcorn St,3
ALCN,Texas,3
ALCN,Alcorn State,27
ALCN,Michigan State,3
ALCN,Houston,1
ALCN,Kansas State,1
ALCN,Texas A&M,2
ALCN,Missouri,1
ALL,Alice Lloyd College,2
ALL,Morehead State,2
ALLEN,Allen,5
ALLEN,Florida A&M,2
ALST,Arkansas-Pine Bluff,2
ALST,Alabama St,2
ALST,Alabama State,12
ALST,Florida,2
ALST,Morehead State,4
ALST,Iowa State,2
AMCC,Lamar,8
AMCC,Texas A&M-CC,32
AMCC,Texas,3
AMCC,Florida State,3
AMCC,Kansas,1
AMCC,Northeastern State,5
AMCC,Memphis,3
AMCC,Texas A&M,4
AMER,Boston Univ,3
AMER,American,9
AMER,Wisconsin,3
AMER,Lafayette,3
AMER,American University,29
AMER,Mount St Mary's,4
AMER,Jacksonville,4
AMER,Georgetown,2
AMER,Villanova,2
AMER,Florida,3
AMER,Pittsburgh,1
AMER,Ohio State,1
AMI,Texas A&M-Int,4
APP,Appalachian St,9
APP,Appalachian State,13
APP,Davidson,4
APP,Texas,1
APP,Milligan,3
APP,Georgia Southern,3
APP,Elon,3
AQU,Aquinas,2
